"","seriesId","seriesTitle","seriesAvgRating","totalVotes","avgVotes","numSeasons","avgRuntime","seriesStartYear","seriesStartDecade","lengthYears","genres","baseGenre"
"1","tt0944947","Game of Thrones",8.74,4709925,63648,8,57.8,"2011","2010s",8,"Action,Adventure,Drama","Action"
"2","tt0903747","Breaking Bad",8.96,2561465,41314,5,47.4,"2008","2000s",5,"Crime,Drama,Thriller","Crime"
"3","tt2560140","Attack on Titan",9.09,3348216,37620,4,25.1,"2013","2010s",10,"Action,Adventure,Animation","Action"
"4","tt11126994","Arcane",9.18,626693,34816,2,41.1,"2021","2020s",3,"Action,Adventure,Animation","Action"
"5","tt1475582","Sherlock",8.66,453954,30264,4,80.7,"2010","2010s",7,"Crime,Drama,Mystery","Crime"
"6","tt4574334","Stranger Things",8.58,866568,25487,4,60.9,"2016","2010s",9,"Drama,Fantasy,Horror","Drama"
"7","tt9140554","Loki",8.47,287105,23925,2,48.8,"2021","2020s",2,"Action,Adventure,Fantasy","Action"
"8","tt3032476","Better Call Saul",8.8,1314617,20867,6,49.7,"2015","2010s",7,"Crime,Drama","Crime"
"9","tt10919420","Squid Game",7.81,268061,16754,2,57,"2021","2020s",4,"Action,Drama,Mystery","Action"
"10","tt5753856","Dark",8.89,396545,15252,3,55.9,"2017","2010s",3,"Crime,Drama,Mystery","Crime"
"11","tt1520211","The Walking Dead",7.92,2352953,13294,11,45.8,"2010","2010s",12,"Drama,Horror,Thriller","Horror"
"12","tt0475784","Westworld",8.33,445364,12371,4,60.7,"2016","2010s",6,"Drama,Mystery,Sci-Fi","Drama"
"13","tt4158110","Mr. Robot",8.89,521332,11585,4,48.9,"2015","2010s",4,"Crime,Drama,Thriller","Crime"
"14","tt3322312","Daredevil",8.85,441675,11325,3,53.3,"2015","2010s",3,"Action,Crime,Drama","Action"
"15","tt7660850","Succession",8.74,434058,11130,4,63.5,"2018","2010s",5,"Comedy,Drama","Comedy"
"16","tt2442560","Peaky Blinders",8.6,380107,10559,6,58.4,"2013","2010s",9,"Crime,Drama","Crime"
"17","tt10168312","What If...?",7.09,238854,9187,3,31,"2021","2020s",3,"Action,Adventure,Animation","Action"
"18","tt0141842","The Sopranos",8.61,767853,8929,6,54.9,"1999","1990s",8,"Crime,Drama","Crime"
